Team,Primary,Secondary,Tertiary
Charge,#122C42,#67A2B2,#0FEFD9
Defiant,#000000,#C10021,#91A1AF
Dragons,#D22630,#000000,#FCE300
Dynasty,#000000,#AA8A00,#FFFFFF
Eternal,#303D56,#8D042D,#FFAA1D
Excelsior,#171C38,#0F57EA,#FF1C26
Fuel,#032340,#0072CE,#9EA2A2
Fusion,#000000,#DCDCDC,#F99E29
Gladiators,#3C1053,#000000,#FFFFFF
Hunters,#FFA000,#B4926A,#161823
Justice,#990034,#003768,#FFFFFF
Mayhem,#000000,#CF4691,#3DB2E3
Outlaws,#000000,#97D700,#FFFFFF
Reign,#C4C4C4,#910F1B,#323232
Shock,#000000,#A5ACAF,#FC4C02
Spark,#FB7299,#5788CE,#FFFFFF
Spitfire,#59CBE8,#FF8200,#1C2B39
Titans,#09226B,#2FB228,#FFFFFF
Uprising,#174B97,#EFDF00,#000000
Valiant,#1888C6,#FFD100,#FFFFFF
